Order,Type,SubType,Name,Distance,Length,X,Y,Sector
0.0,Marker,Start Line,Start Line,0.0,0.0,-461.67674857864273,1347.6990655627933,1
0.5,Straight,Main Straight,Start Straight,0.0,363.64210430952073,-461.67674857864273,1347.6990655627933,1
1.0,Corner,T1,La Source,363.64210430952073,0.0,-2268.255615234375,4480.01220703125,1
1.5,Straight,T1->T2,Run to Eau Rouge,363.64210430952073,690.9692311690591,365.871826171875,2492.212173461914,1
2.0,Corner,T2,Eau Rouge,1054.6113354785798,0.0,2999.999267578125,504.4121398925781,1
2.5,Segment,T2->T3,Track Segment,1054.6113354785798,88.40860399730582,3408.543701171875,140.3270263671875,1
3.0,Corner,T3,Raidillon,1143.0199394758856,0.0,3817.088134765625,-223.75808715820312,1
3.5,Segment,T3->T4,Track Segment,1143.0199394758856,111.87607044990818,3935.95166015625,-699.6704864501953,1
4.0,Corner,T4,Raidillon Top,1254.8960099257938,0.0,4054.815185546875,-1175.5828857421875,1
4.5,Straight,T4->T5,Kemmel Straight,1254.8960099257938,1137.5592169179563,6171.5975341796875,-6366.872497558594,1
5.0,Corner,T5,Les Combes,2392.45522684375,0.0,8288.3798828125,-11558.162109375,2
5.5,Segment,T5->T6,Track Segment,2392.45522684375,73.47681359822946,8055.307861328125,-11871.80810546875,2
6.0,Corner,T6,Les Combes,2465.9320404419796,0.0,7822.23583984375,-12185.4541015625,2
6.5,Segment,T6->T7,Track Segment,2465.9320404419796,170.92384707774045,7891.378173828125,-12979.9326171875,2
7.0,Corner,T7,Malmedy,2636.85588751972,0.0,7960.5205078125,-13774.4111328125,2
7.5,Segment,T7->T8,Track Segment,2636.85588751972,385.45585015364213,6378.00244140625,-14671.7900390625,2
8.0,Corner,T8,Rivage,3022.311737673362,0.0,4795.484375,-15569.1689453125,2
8.5,Segment,T8->T9,Track Segment,3022.311737673362,249.16003232262347,5459.749267578125,-14699.0341796875,2
9.0,Corner,T9,No Name,3271.4717699959856,0.0,6124.01416015625,-13828.8994140625,2
9.5,Straight,T9->T10,Run to Pouhon,3271.4717699959856,510.1832132836198,5401.864013671875,-11374.09130859375,2
10.0,Corner,T10,Pouhon,3781.6549832796054,0.0,4679.7138671875,-8919.283203125,2
10.5,Segment,T10->T11,Track Segment,3781.6549832796054,252.53297692780416,3561.2325439453125,-8952.0283203125,2
11.0,Corner,T11,Pouhon Exit,4034.1879602074096,0.0,2442.751220703125,-8984.7734375,2
11.5,Segment,T11->T12,Track Segment,4034.1879602074096,424.5996198120956,1604.2785034179688,-10888.2568359375,2
12.0,Corner,T12,Fagnes,4458.787580019505,0.0,765.8057861328125,-12791.740234375,2
12.5,Segment,T12->T13,Track Segment,4458.787580019505,152.85632873527447,26.99591064453125,-12726.94580078125,2
13.0,Corner,T13,Fagnes Exit,4611.64390875478,0.0,-711.81396484375,-12662.1513671875,2
13.5,Segment,T13->T14,Track Segment,4611.64390875478,297.5150882754806,-1619.43994140625,-13758.59423828125,2
14.0,Corner,T14,Campus,4909.15899703026,0.0,-2527.06591796875,-14855.037109375,2
14.5,Segment,T14->T15,Track Segment,4909.15899703026,247.58237132174781,-3431.76953125,-14146.4697265625,2
15.0,Corner,T15,Stavelot,5156.741368352008,0.0,-4336.47314453125,-13437.90234375,3
15.5,Straight,T15->T16,Stavelot Straight,5156.741368352008,720.6616171037122,-1983.1086883544922,-10908.197265625,3
16.0,Corner,T16,Paul Frère,5877.40298545572,0.0,370.2557678222656,-8378.4921875,3
16.5,Straight,T16->T17,Run to Blanchimont,5877.40298545572,277.9069212815566,858.1929473876953,-7114.93798828125,3
17.0,Corner,T17,Blanchimont,6155.309906737277,0.0,1346.130126953125,-5851.3837890625,3
17.5,Segment,T17->T18,Track Segment,6155.309906737277,532.8568073574916,685.4564876556396,-3276.5068969726562,3
18.0,Corner,T18,Blanchimont Exit,6688.166714094768,0.0,24.782848358154297,-701.6300048828125,3
18.5,Straight,T18->T19,Run to Bus Stop,6688.166714094768,60.45608076747885,287.1303768157959,-544.2722320556641,3
19.0,Corner,T19,Bus Stop Chicane,6748.622794862247,0.0,549.4779052734375,-386.9144592285156,3
19.5,Straight,Final Run,Run to Finish,6748.622794862247,213.09260337185333,549.4779052734375,-386.9144592285156,3
